GITM2 log file
## Inputs from UAM.in
# Resart= F
# Eddy coef:   300.000 Eddy P0:     0.005 Eddy P1:     0.001 Eddy Scaling:     1.000
# Statistical Models Only:  F Apex:  T
# EUV Data:  F
# AMIE: none           
none                                                                                                
# Solar Heating:  T Joule Heating:  T Auroral Heating:  T
# NO Cooling:  T O Cooling:  T
# Conduction:  T Turbulent Conduction:  T Updated Turbulent Conduction:  F
# Pressure Grad:  T Ion Drag:  T Neutral Drag:  T
# Viscosity:  T Coriolis:  T Gravity:  T
# Ion Chemistry:  T Ion Advection:  T Neutral Chemistry:  T
 
#START
   iStep yyyy mm dd hh mm ss  ms      dt min(T) max(T) mean(T) min(VV) max(VV) mean(VV) F107 F107A By Bz Vx HP HPn HPs SubsolarLon SubsolarLat SubsolarVTEC
      70 2017  8 21  0  5 17 555  4.6326    177.31337    916.97982    814.44192    -50.09533     43.41878     -3.60005     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11850   0.20271  -1.00000
      71 2017  8 21  0  5 22 187  4.6315    177.31292    917.65916    814.81796    -48.91719     45.09369     -3.28307     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11816   0.20271  -1.00000
      72 2017  8 21  0  5 26 817  4.6304    177.30608    917.75190    815.17092    -50.78694     45.39118     -2.95002     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11783   0.20271  -1.00000
      73 2017  8 21  0  5 31 448  4.6306    177.29373    918.35463    815.49055    -52.30501     46.53462     -2.60629     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11749   0.20271  -1.00000
      74 2017  8 21  0  5 36  80  4.6323    177.28325    918.43942    815.76591    -53.55781     48.19640     -2.25288     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11715   0.20271  -1.00000
      75 2017  8 21  0  5 40 715  4.6351    177.28054    918.88250    815.98588    -57.57863     48.40331     -1.88729     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11682   0.20271  -1.00000
      76 2017  8 21  0  5 45 352  4.6371    177.27179    919.01154    816.13936    -59.48152     48.97214     -1.50968     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11648   0.20271  -1.00000
      77 2017  8 21  0  5 49 989  4.6369    177.25240    919.34279    816.21626    -58.61137     50.63687     -1.12180     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11614   0.20271  -1.00000
      78 2017  8 21  0  5 54 624  4.6354    177.24067    919.63384    816.20888    -59.06750     50.81497     -0.73524     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11580   0.20271  -1.00000
      79 2017  8 21  0  5 59 258  4.6335    177.24581    919.92872    816.11177    -61.31972     51.26488     -0.35498     80.0     80.0      0.0     -2.0    400.0      1.0      0.0      0.0   3.11547   0.20271  -1.00000
